ProductId,SKU,ProductName,UnitOfBillingId,SupplierId,ProductListPrice,CostPrice
16298,10010109,Beef Brisket AA+ Fresh CMDB (Case),3,118,7.55,5.67
16299,10010110,Beef Brisket AA FZN CMDB (Case),3,118,7.55,5.67
8502,10100101,Beef Tenderloin COV AAA Fresh CMDB (Pack),3,118,0.72,0.0
8489,10100102,Beef Tenderloin AA Fresh CMDB,3,118,0.0,0.0
8495,10100103,"Beef Rib FCO, COV 2x2 AAA Fresh CMDB (Pack)",3,118,0.0,0.0
8494,10100104,"Beef Rib FCO, Portioned 2x2 AAA Fresh CMDB",3,118,0.0,0.0
14472,10100105,"Beef Cheek 63 Acres, Bulk Fresh CMDB (Case)",3,118,5.65,4.09
8500,10100106,"Beef Striploin Boneless, COV 0x1 AAA Fresh CMDB (Case)",3,118,0.0,0.0
8501,10100107,"Beef Striploin Boneless, COV 0x1 AAA Fresh CMDB (Pack)",3,118,0.0,0.0
14473,10100108,"Beef Cheek 63 Acres, Bulk FZN CMDB (Case)",3,118,5.65,4.09
8498,10100109,Beef Ribeye Bnls 2x2 AA Fresh CMDB (Case),3,118,0.0,0.0
8499,10100110,"Beef Ribeye Bnls, Portioned 2x2 AAA Fresh CMDB",3,118,0.0,0.0
14474,10100111,"Beef Cheek 63 Acres, Bulk Fresh CMDB (Pack)",3,118,6.07,4.44
8490,10100112,"Beef Rib FCO 2x2 AAA, Dry Aged Fresh CMDB",3,118,0.0,0.0
8497,10100113,"Beef Ribeye Bnls, Portioned 1x1 AAA Fresh CMDB",3,118,0.0,0.0
8491,10100114,"Beef Rib FCO, Portioned 2x2 AAA, Dry Aged Fresh CMDB",3,118,0.0,0.0
8492,10100115,"Beef Striploin 0x1 AAA, Dry Aged Fresh CMDB",3,118,0.0,0.0
8493,10100116,"Beef Striploin Portioned 0x1 AAA, Dry Aged Fresh CMDB",3,118,0.0,0.0
8496,10100117,"Beef Ribeye Bnls, Portioned 0x0 AAA Fresh CMDB",3,118,0.0,0.0
8503,10100118,Beef Tenderloin Portioned Center Cut AAA Fresh CMDB,3,118,0.0,0.0
9709,10100119,Beef Flat Iron COV Whole Fresh CMDB (Case),3,118,9.6,7.37
9710,10100120,"Beef Flat Iron Seamed, COV FZN CMDB (Pack)",3,118,17.01,13.52
9711,10100121,"Beef Flat Iron Portion, COV 6oz FZN CMDB (Case)",3,118,19.66,15.72
9712,10100122,Beef Flat Iron Portion 6 oz AAA Fresh CMDB,3,118,0.0,0.0
9713,10100123,Beef Flat Iron Portion 7 oz AAA Fresh CMDB,3,118,0.0,0.0
9714,10100124,Beef Flat Iron Portion 8 oz AAA Fresh CMDB,3,118,0.0,0.0
10224,10100125,Beef Ribeye COV 0x0 Prime Fresh CMDB (Case),3,118,0.0,0.0
10484,10100126,Beef Tenderloin Fresh CMDB,3,118,0.0,0.0
10554,10100127,Beef Chuck Eye Roll Bouvry Fresh CMDB,3,118,0.0,0.0
10555,10100128,Beef Striploin Bouvry Fresh CMDB,3,118,0.0,0.0
10556,10100129,Beef Trim Bouvry Fresh CMDB,3,118,0.0,0.0
10557,10100130,Beef Flat Iron Bouvry Fresh CMDB,3,118,0.0,0.0
10558,10100131,Beef Hanging Tender Bouvry Fresh CMDB,3,118,0.0,0.0
10559,10100132,Beef Cheek Bouvry Fresh CMDB,3,118,0.0,0.0
